x_um,depth_um,optical_generation_cm^-3_s^-1
-65.0,47.3,5081100.304012256
-65.0,47.5,5575106.642015525
-65.0,47.7,31368271.150983185
-65.0,47.9,10430133.053178191
-65.0,48.1,3963363.8262705063
-65.0,48.3,11648367.766857248
-65.0,48.5,7708384.393225064
-65.0,48.7,11480179.34949125
-65.0,48.9,4829571.886112881
-65.0,49.1,8915117.432622364
-65.0,49.3,9423830.829543287
-65.0,49.5,1383707.98170641
-65.0,49.7,1831405.939322808
-65.0,49.9,1186897.3650622068
-65.0,50.1,78942.96702107211
-65.0,50.3,1603107.1324318317
-65.0,50.5,1570072.8154783305
-65.0,50.7,676336.1581747053
-65.0,50.9,1246178.125622599
-65.0,51.1,914213.4085658981
-65.0,51.5,1403732.208078909
-65.0,51.7,1340001.619435739
-65.0,51.9,1031643.6174622477
-65.0,52.1,648543.5878610862
-65.0,52.3,1406447.3574175527
-65.0,52.5,1488693.756133975
-65.0,52.7,1053741.916246211
-65.0,52.9,1167740.4780617745
-65.0,53.1,790598.6928426372
-65.0,53.3,610456.076305109
-65.0,53.5,873712.4309311261
-65.0,53.7,2795774.189838656
-65.0,53.9,738407.488888704
-65.0,54.1,873637.0101161638
-65.0,54.3,582474.9539540842
-65.0,54.5,358275.2683563102
-65.0,54.7,305759.7548980389
-65.0,54.9,831929.2994419947
-65.0,55.1,875409.3992677786
-65.0,55.3,1394417.737431061
-65.0,55.5,860438.3674977558
-65.0,55.7,849841.7429955484
-65.0,55.9,1966446.9085128624
-65.0,56.1,2882847.520712668
-65.0,56.3,1485790.0547579252
-65.0,56.5,1305760.5694428405
-65.0,56.7,179886.1857666562
-65.0,56.9,283687.8533993127
-65.0,57.1,722644.5385615767
-65.0,57.3,2696294.1349033415
-65.0,57.5,484163.9216506853
-65.0,57.7,614755.0627579619
-65.0,57.9,924734.6122531432
-65.0,58.1,799800.0322680416
-65.0,58.3,1440952.3802628194
-65.0,58.5,783923.9507184708
-65.0,58.7,2714508.261716745
-65.0,58.9,3140711.2870688783
-65.0,59.1,10900947.490580544
-65.0,59.3,892379.0826343031
-65.0,59.5,675204.8459502704
-65.0,59.7,1782043.0159299623
-65.0,59.9,675317.977172714
-65.0,60.1,949284.087523382
-65.0,60.3,718534.1041461296
-65.0,66.9,14386520.454064682
-65.0,67.1,11199236.813756565
-65.0,67.3,9667817.165946428
-55.0,0.1,16311033.389458489
-55.0,0.3,18906489.894757196
-55.0,0.5,8598048.326520724
-55.0,0.7,18006757.282664064
-55.0,0.9,9912557.710499195
-55.0,1.1,21674358.38305979
-55.0,1.3,27406378.030604444
-55.0,1.5,23022354.608881533
-55.0,1.7,23012889.29660376
-55.0,1.9,19784652.1537711
-55.0,2.1,23832600.424021855
-55.0,2.3,30888217.663747944
-55.0,2.5,22154826.68477732
-55.0,2.7,17379784.047882203
-55.0,2.9,7179910.742784008
-55.0,3.1,6772038.746508469
-55.0,3.3,13961147.057677133
-55.0,3.5,4619826.599702637
-55.0,3.7,4449251.113543081
-55.0,3.9,13689405.861367855
-55.0,4.1,13061678.41843637
-55.0,4.3,4651616.47320926
-55.0,4.5,10878287.30672511
-55.0,4.7,16067612.709167564
-55.0,4.9,11819535.306414258
-55.0,5.1,57930086.89563944
-55.0,5.3,18455096.31720764
-55.0,5.5,2466637.753343043
-55.0,5.7,2604921.8175764773
-55.0,5.9,1677962.2912819453
-55.0,6.1,2736493.429278264
-55.0,6.3,21715538.14802922
