# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
0.0450,0.0050,32.500,3.7871e+02
0.0450,0.0050,32.300,1.0432e+03
0.0450,0.0050,32.100,2.0444e+02
0.0450,0.0050,31.900,3.9223e+02
0.0450,0.0050,31.700,7.9063e+02
0.0450,0.0050,31.500,7.4838e+02
0.0450,0.0050,31.300,8.4996e+02
0.0450,0.0050,31.100,9.2732e+02
0.0450,0.0050,30.900,6.9757e+02
0.0450,0.0050,30.700,2.7037e+02
0.0450,0.0050,30.500,3.1434e+03
0.0450,0.0050,30.300,1.1491e+04
0.0450,0.0050,30.100,3.4549e+03
0.0450,0.0050,29.900,1.6533e+03
0.0250,0.0250,42.300,5.3574e+03
0.0350,0.0250,30.700,6.5817e+03
0.0350,0.0250,30.500,1.6065e+04
0.0150,-0.0450,18.500,4.4084e+03
0.0150,-0.0450,18.700,9.1392e+03
0.0150,-0.0450,16.300,3.5418e+03
0.0150,-0.0450,16.100,1.7686e+04
0.0150,-0.0450,15.900,2.0019e+03
0.0150,-0.0450,15.700,3.3345e+03
0.0150,-0.0450,15.500,3.9873e+03
0.0150,-0.0450,15.300,1.1724e+04
0.0150,-0.0450,15.100,6.7634e+02
-0.0450,-0.0150,5.900,7.5059e+02
-0.0450,-0.0150,5.700,3.5787e+02
-0.0350,0.0150,40.700,5.2506e+03
-0.0150,-0.0450,8.100,1.2750e+04
-0.0150,-0.0450,7.900,3.2414e+04
-0.0150,-0.0450,7.700,6.8244e+03
