source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
20kev,20 keV,30.0,1e12,True,True,,73.90631940149062,2.18663865584922,3.643340805000001e-05,1.666183297022637e-05,6
20kev,20 keV,30.0,1e13,True,True,,73.66944627216262,1.9461326592621997,4.30523368e-05,2.2121994919052238e-05,6
20kev,20 keV,30.0,2.5e13,True,True,,73.11398996762682,1.66386886442006,4.713623407e-05,2.8329296303305303e-05,6
20kev,20 keV,30.0,5e13,True,True,,71.32637017982357,1.4401496483362002,3.70605278e-05,2.5733803318853633e-05,6
20kev,20 keV,40.0,0,True,True,,73.8061399163401,1.92579285172336,2.2477519540000006e-05,1.1671826240234117e-05,6
20kev,20 keV,40.0,1e12,True,True,,73.7709088419818,1.90500229040102,2.2902253079999996e-05,1.202216564011525e-05,6
20kev,20 keV,40.0,1e13,True,True,,73.4290831914981,1.6785949147396,3.1434739999999995e-05,1.8726817127809816e-05,6
20kev,20 keV,40.0,2.5e13,True,True,,71.15426350967701,1.430017006171,3.1963273999999995e-05,2.2351674044481858e-05,6
20kev,20 keV,40.0,5e13,True,True,,60.82533047075411,1.2268238228576,3.2865245399999994e-05,2.678888752212854e-05,6
20kev,20 keV,50.0,0,True,True,,73.8669450048785,1.8272360504024001,2.06334086e-05,1.129214180918554e-05,6
20kev,20 keV,50.0,1e12,True,True,,73.82619176912402,1.8154249045465,2.1545225999999996e-05,1.1867869580307467e-05,6
20kev,20 keV,50.0,1e13,True,True,,73.3742243396577,1.6046723177799198,2.6933712680000004e-05,1.6784556187311228e-05,6
20kev,20 keV,50.0,2.5e13,True,True,,62.90816738986021,1.3533718775868,2.89480242e-05,2.138955646959155e-05,6
20kev,20 keV,50.0,5e13,True,True,,51.424510039756605,1.1443477704141998,3.12276348e-05,2.7288587968932795e-05,6
20kev,20 keV,60.0,0,True,True,,73.97742236428566,1.75890769134978,2.4498640119999997e-05,1.3928326222281638e-05,6
20kev,20 keV,60.0,1e12,True,True,,73.934401524072,1.75474880255082,2.2226855880000004e-05,1.2666688159404674e-05,6
20kev,20 keV,60.0,1e13,True,True,,72.91885724657452,1.5564525150406,2.7719668399999997e-05,1.780951756133526e-05,6
20kev,20 keV,60.0,2.5e13,True,True,,55.856264067162776,1.3048436235782401,3.816406896e-05,2.924800203670661e-05,6
20kev,20 keV,60.0,5e13,True,True,,46.21228953945708,1.0908760926338,2.9722412200000005e-05,2.7246368676243075e-05,6
20kev,20 keV,70.0,0,True,True,,74.02789132944741,1.7090390205774202,6.610805658e-05,3.8681420250817074e-05,6
20kev,20 keV,70.0,1e12,True,True,,73.98214653899475,1.71027850921666,2.6075427507e-05,1.5246304836598244e-05,6
20kev,20 keV,70.0,1e13,True,True,,69.49794971933535,1.52355156122616,2.4477345640000002e-05,1.6065977852630428e-05,6
20kev,20 keV,70.0,2.5e13,True,True,,51.708539823294586,1.27270968388794,3.471415976000001e-05,2.727578818600121e-05,6
20kev,20 keV,70.0,5e13,True,True,,42.86009429232015,1.0556111905821999,2.75932878e-05,2.613963175663334e-05,6
20kev,20 keV,80.0,0,True,True,,73.8301493227776,1.640669607182,2.261311199e-05,1.3782855421354507e-05,6
20kev,20 keV,80.0,1e12,True,True,,73.78119789374415,1.64936311462478,2.3443130770999998e-05,1.4213444306551726e-05,6
20kev,20 keV,80.0,1e13,True,True,,63.4483622086174,1.46945644072258,2.1670796319999996e-05,1.474749146653422e-05,6
20kev,20 keV,80.0,2.5e13,True,True,,48.38883799133149,1.22551230085472,2.1792152880000005e-05,1.7782076005929364e-05,6
20kev,20 keV,80.0,5e13,True,True,,39.93640047626508,1.0115329683677998,3.84938112e-05,3.8054924954263476e-05,6
20kev,20 keV,90.0,0,True,True,,73.93697351872486,1.6076655267159798,2.2231206470999997e-05,1.3828253515152658e-05,6
20kev,20 keV,90.0,1e12,True,True,,73.88516597021439,1.62133223409094,2.3555611940000002e-05,1.4528553398685328e-05,6
20kev,20 keV,90.0,1e13,True,True,,60.15980304435067,1.4488903032058997,3.1370994100000004e-05,2.165173859648774e-05,6
20kev,20 keV,90.0,2.5e13,True,True,,46.563384221376495,1.20858416195884,2.2079076359999998e-05,1.8268546829386573e-05,6
20kev,20 keV,90.0,5e13,True,True,,38.138084972619914,0.9929164801452599,2.3640500039999998e-05,2.3809152645488858e-05,6
20kev,20 keV,100.0,0,True,True,,73.85584787185672,1.57317368303666,2.13243322e-05,1.3554976433904071e-05,6
20kev,20 keV,100.0,1e12,True,True,,73.80253979779418,1.5919338534293201,2.244164759e-05,1.4097098030584964e-05,6
