x_um,depth_um,optical_generation_cm^-3_s^-1
-85.0,0.1,23350721.153846156
-85.0,0.3,33433840.811965805
-85.0,0.5,105340678.41880344
-85.0,0.7,21214529.914529916
-85.0,0.9,5256036.324786325
-85.0,1.1,13340288.46153846
-85.0,1.3,15870061.431623932
-85.0,1.5,7830288.461538461
-85.0,1.7,10717548.076923076
-85.0,1.9,5527056.623931624
-85.0,2.1,39315598.29059829
-85.0,2.3,36005635.68376068
-85.0,2.5,39216800.2136752
-85.0,2.7,33940037.39316239
-85.0,2.9,44633306.623931624
-85.0,3.1,49303178.418803416
-85.0,3.3,41533253.2051282
-85.0,3.5,27220753.205128208
-85.0,3.7,20737873.93162393
-85.0,3.9,21701308.76068376
-85.0,4.1,28294070.512820512
-85.0,4.3,59766212.60683761
-85.0,4.5,65432585.47008548
-85.0,4.7,32742120.72649573
-85.0,4.9,25897142.094017092
-85.0,5.1,15785333.066239312
-85.0,5.3,65714930.55555555
-85.0,5.5,115614957.26495726
-85.0,5.7,79706463.67521366
-85.0,5.9,79983787.3931624
-85.0,6.1,64232024.572649576
-85.0,6.3,96134268.16239315
-85.0,6.5,54302430.55555556
-85.0,6.7,32217462.606837608
-85.0,6.9,64170806.62393163
-85.0,7.1,61923346.688034184
-85.0,7.3,84309305.55555557
-85.0,7.5,62032905.98290597
-85.0,7.7,60080101.49572649
-85.0,7.9,47311939.102564104
-85.0,8.1,70539743.5897436
-85.0,8.3,27125916.132478632
-85.0,8.5,25991907.051282052
-85.0,8.7,66396581.1965812
-85.0,8.9,28409428.418803416
-85.0,9.1,46002029.91452991
-85.0,9.3,43097061.96581196
-85.0,9.5,88907131.41025642
-85.0,9.7,33060149.572649572
-85.0,9.9,32698183.760683764
-85.0,10.1,20274946.58119658
-85.0,10.3,20868082.264957264
-85.0,10.5,104293215.81196582
-85.0,10.7,15609134.615384614
-85.0,10.9,21479460.47008547
-85.0,11.1,21694871.794871796
-85.0,11.3,66388728.632478625
-85.0,11.5,63035523.50427351
-85.0,11.7,36239636.752136745
-85.0,11.9,74138514.95726496
-85.0,12.1,73392280.98290598
-85.0,12.3,102591506.4102564
-85.0,12.5,103511805.55555555
-85.0,12.7,117707318.37606838
-85.0,12.9,65756330.12820512
-85.0,13.1,38088995.72649572
-85.0,13.3,65210630.34188034
-85.0,13.5,67414407.05128205
-85.0,13.7,111185389.95726497
-85.0,13.9,87941185.8974359
-85.0,14.1,55601522.43589743
-85.0,14.3,64528365.38461539
-85.0,14.5,55327003.20512819
-85.0,14.7,73892387.82051282
-85.0,14.9,61753434.82905982
-85.0,15.1,57614262.82051282
-85.0,15.3,59872970.08547009
-85.0,15.5,82881383.54700856
-85.0,15.7,101434241.45299144
-85.0,15.9,85535069.44444445
-85.0,16.1,125030555.55555557
-85.0,16.3,141444417.73504272
-85.0,16.5,162400053.41880342
-85.0,16.7,153337954.05982906
-85.0,16.9,135294818.37606835
-85.0,17.1,116444230.76923077
-85.0,17.3,188820404.64743587
-85.0,17.5,103527938.03418803
-85.0,17.7,100191185.8974359
-85.0,17.9,124012553.41880342
-85.0,18.1,99327804.48717949
-85.0,18.3,130963808.76068376
-85.0,18.5,174686276.70940173
-85.0,18.7,217226255.34188035
-85.0,18.9,146878044.87179488
-85.0,19.1,99831303.41880342
-85.0,19.3,161127510.68376067
-85.0,19.5,124211672.00854701
-85.0,19.7,119728418.8034188
-85.0,19.9,194107879.2735043
-85.0,20.1,217948557.69230768
-85.0,20.3,141960122.8632479
-85.0,20.5,99482558.76068375
-85.0,20.7,123951014.95726494
-85.0,20.9,132978231.83760685
-85.0,21.1,69720726.4957265
-85.0,21.3,113041701.38888887
-85.0,21.5,119774919.87179486
-85.0,21.7,187993162.39316243
-85.0,21.9,86421904.38034189
-85.0,22.1,165478632.47863248
-85.0,22.3,190218429.4871795
-85.0,22.5,103253125.0
-85.0,22.7,145945646.36752135
-85.0,22.9,110953154.38034187
-85.0,23.1,95284455.12820512
-85.0,23.3,140284001.06837606
-85.0,23.5,101081650.64102565
-85.0,23.7,103603258.54700856
-85.0,23.9,171635576.92307693
-85.0,24.1,182311805.55555558
-85.0,24.3,127063354.70085469
-85.0,24.5,149697970.08547008
-85.0,24.7,282282077.99145293
-85.0,24.9,194496874.99999997
-85.0,25.1,139606597.2222222
-85.0,25.3,128566105.76923077
-85.0,25.5,189204869.1239316
-85.0,25.7,152941773.5042735
-85.0,25.9,183417815.1709402
-85.0,26.1,203075721.15384614
-85.0,26.3,145204407.05128205
-85.0,26.5,134338755.34188035
-85.0,26.7,222515857.37179488
-85.0,26.9,191111858.974359
-85.0,27.1,225394845.08547008
-85.0,27.3,133268696.58119659
-85.0,27.5,197819070.51282054
-85.0,27.7,170371634.61538458
-85.0,27.9,134018242.52136752
-85.0,28.1,106311778.84615384
-85.0,28.3,105172676.28205128
-85.0,28.5,197717441.23931625
-85.0,28.7,186120379.2735043
-85.0,28.9,175709561.96581194
-85.0,29.1,178388141.02564102
-85.0,29.3,160097612.17948717
-85.0,29.5,157303712.6068376
-85.0,29.7,176610630.34188035
-85.0,29.9,120587713.67521368
-85.0,30.1,133597142.0940171
-85.0,30.3,112199626.06837606
-85.0,30.5,170708199.7863248
-85.0,30.7,116172168.8034188
-85.0,30.9,135274358.97435895
-85.0,31.1,170323504.2735043
-85.0,31.3,149999118.58974358
-85.0,31.5,109109935.89743589
-85.0,31.7,75693162.3931624
-85.0,31.9,87043936.96581195
-85.0,32.1,189783920.9401709
-85.0,32.3,214729139.95726493
-85.0,32.5,164033333.33333334
-85.0,32.7,124138034.1880342
-85.0,32.9,144310576.92307693
-85.0,33.1,101969604.70085469
-85.0,33.3,112585844.01709402
-85.0,33.5,174008547.008547
-85.0,33.7,166726362.17948717
-85.0,33.9,129564743.58974358
-85.0,34.1,125451816.23931623
-85.0,34.3,124486431.62393163
-85.0,34.5,114641613.24786325
-85.0,34.7,125587713.67521365
-85.0,34.9,125162179.48717949
-85.0,35.1,198578311.96581197
-85.0,35.3,139034722.22222224
-85.0,35.5,111468215.81196581
-85.0,35.7,194990384.6153846
-85.0,35.9,269192841.8803419
-85.0,36.1,150732371.79487178
-85.0,36.3,108039529.91452992
-85.0,36.5,93841346.15384614
-85.0,36.7,99535630.34188034
-85.0,36.9,121162393.16239317
-85.0,37.1,121026602.56410255
-85.0,37.3,168132745.72649574
-85.0,37.5,126237500.0
-85.0,37.7,118649118.58974358
-85.0,37.9,139886805.55555555
-85.0,38.1,144184027.77777776
-85.0,38.3,191735416.66666663
-85.0,38.5,119817815.17094019
-85.0,38.7,131762473.29059827
-85.0,38.9,139268082.26495728
-85.0,39.1,97372596.15384614
-85.0,39.3,181664449.78632477
-85.0,39.5,114299011.75213674
-85.0,39.7,166261244.65811965
-85.0,39.9,115837633.54700854
-85.0,40.1,98472240.9188034
-85.0,40.3,90204631.41025642
-85.0,40.5,101882483.97435898
-85.0,40.7,90617868.58974357
-85.0,40.9,111383226.49572648
-85.0,41.1,190598854.1666667
-85.0,41.3,66359722.222222224
-85.0,41.5,76272970.0854701
-85.0,41.7,88356250.0
-85.0,41.9,121210683.76068376
