source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
100kev,100 keV,70.0,1e12,True,True,,99.3139144691012,3.8504494217774,4.150219360000001e-05,1.0778532335802569e-05,6
100kev,100 keV,70.0,1e13,True,True,,93.59422528660438,3.0470043728856,4.48066304e-05,1.4705141482145903e-05,6
100kev,100 keV,70.0,5e13,True,True,,53.0424627830595,1.684138125136,3.3000988e-05,1.9595178986483103e-05,6
100kev,100 keV,80.0,0,True,True,,99.37801544957756,3.8948779055436002,3.90567424e-05,1.0027719314233275e-05,6
100kev,100 keV,80.0,1e11,True,True,,99.37306643745853,3.8911237853372,3.91802638e-05,1.0069138367594925e-05,6
100kev,100 keV,80.0,1e12,True,True,,99.32903890948113,3.8582361969130003,4.0260178000000004e-05,1.0434866074869245e-05,6
100kev,100 keV,80.0,1e13,True,True,,85.9306664055377,3.1132708729528,4.447880919999999e-05,1.4286842043337465e-05,6
100kev,100 keV,80.0,5e13,True,True,,51.15966030760692,1.753113339959,3.5103611e-05,2.002358330170539e-05,6
100kev,100 keV,90.0,0,True,True,,99.36232310265451,3.9188134886090005,3.8615042e-05,9.853758570609233e-06,6
100kev,100 keV,90.0,1e11,True,True,,99.35694020172076,3.9166710204622,3.8762797800000006e-05,9.89687354324328e-06,6
100kev,100 keV,90.0,1e12,True,True,,99.30882971971323,3.9060780823668004,4.0018058200000004e-05,1.02450737942627e-05,6
100kev,100 keV,90.0,1e13,True,True,,81.29471251233998,3.2200502971159204,5.6628069180000006e-05,1.7586082189684946e-05,6
100kev,100 keV,90.0,5e13,True,True,,50.03788218856195,1.8566982174848,3.8331178200000006e-05,2.0644807992505013e-05,6
100kev,100 keV,100.0,0,True,True,,99.35795157385289,3.9257332377889993,3.817229399999999e-05,9.723608734428145e-06,6
100kev,100 keV,100.0,1e11,True,True,,99.35219746204488,3.9247140690058,3.859916720000001e-05,9.834899185350811e-06,6
100kev,100 keV,100.0,1e12,True,True,,99.30043566365906,3.9310693250012,3.9858644800000005e-05,1.0139389948303146e-05,6
100kev,100 keV,100.0,1e13,True,True,,78.26195991658678,3.2972453235304,4.5658558600000005e-05,1.3847486043626514e-05,6
100kev,100 keV,100.0,5e13,True,True,,48.828966875071586,1.9481819444084,4.01880516e-05,2.0628489918688686e-05,6
100kev,100 keV,110.0,0,True,True,,99.30005014014127,3.9166045277402,3.738416680000001e-05,9.545045085665032e-06,6
100kev,100 keV,110.0,1e11,True,True,,99.29395567329848,3.9171691284708006,3.782729820000001e-05,9.656794730935495e-06,6
100kev,100 keV,110.0,1e12,True,True,,99.23976418418158,3.9373643923551995,3.913654980000001e-05,9.939783545558462e-06,6
100kev,100 keV,110.0,1e13,True,True,,76.15908062155727,3.3504270250295995,4.545760539999998e-05,1.3567704970263718e-05,6
100kev,100 keV,110.0,5e13,True,True,,47.535948759574296,2.0269526609318,0.0002202225282,0.00010864709987788398,6
100kev,100 keV,120.0,0,True,True,,99.41308917154784,3.903287777588,3.5647551e-05,9.132698645660215e-06,6
100kev,100 keV,120.0,1e11,True,True,,99.40499581611047,3.9051699966575995,4.2203673399999996e-05,1.0807128354494619e-05,6
100kev,100 keV,120.0,1e12,True,True,,99.34851682206947,3.9371777522678,4.17851598e-05,1.0612972649236346e-05,6
100kev,100 keV,120.0,1e13,True,True,,74.71129767464906,3.39081210260172,4.959580488e-05,1.4626527032254566e-05,6
100kev,100 keV,120.0,5e13,True,True,,46.41810493144287,2.0939075618528,4.3700696200000006e-05,2.0870403735173164e-05,6
100kev,100 keV,130.0,0,True,True,,99.3749161347945,3.883076193051,0.000118287327,3.046227298132402e-05,6
100kev,100 keV,130.0,1e11,True,True,,99.36835025440452,3.8861584361752,4.83849124e-05,1.2450576371153041e-05,6
100kev,100 keV,130.0,1e12,True,True,,99.309865839823,3.9302551641400005,4.84562966e-05,1.232904597190523e-05,6
100kev,100 keV,130.0,1e13,True,True,,73.4587693611827,3.42126969705702,5.344765608e-05,1.5622169782749292e-05,6
100kev,100 keV,130.0,5e13,True,True,,45.300197110551046,2.1503500462942,4.5011244799999993e-05,2.093205470317263e-05,6
156p5kev,156.5 keV,10.0,0,True,True,,10.751949281900188,0.8022087235097,3.0584187909999996e-05,3.81249754754508e-05,6
156p5kev,156.5 keV,10.0,1e11,True,True,,10.751899494875037,0.8021281230553999,3.072763397e-05,3.830763825229671e-05,6
156p5kev,156.5 keV,10.0,1e12,True,True,,10.751625543411727,0.80140227451728,3.0143816939999995e-05,3.761384001331535e-05,6
156p5kev,156.5 keV,10.0,1e13,True,True,,10.748265318999389,0.79415507437304,2.9713202780000008e-05,3.741486233461095e-05,6
156p5kev,156.5 keV,10.0,5e13,True,True,,10.731709663323278,0.7648564552828799,2.7269238939999997e-05,3.565275386204925e-05,6
156p5kev,156.5 keV,20.0,0,True,True,,25.241296369269616,1.41744312937604,3.117926344e-05,2.1996835565265426e-05,6
156p5kev,156.5 keV,20.0,1e11,True,True,,25.24107686373636,1.41685053681992,3.10123009e-05,2.188819504533358e-05,6
156p5kev,156.5 keV,20.0,1e12,True,True,,25.23868582098925,1.41141469083782,3.0613490800000006e-05,2.1689933510489214e-05,6
